{'name': '1_#1', 'I0': 0.2, 'gamma': 1.8, 'TL_mst': 56.499999999999993, 'MD_mst': 504.2000000000001, 'TL': 52.899999999999999, 'MD': 439.60000000000002, 'cost': 0.93628318584070802, 'performance': 0.87187623958746518, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '1_#2', 'I0': 0.2, 'gamma': 1.8, 'TL_mst': 78.900000000000006, 'MD_mst': 755.80000000000018, 'TL': 78.899999999999991, 'MD': 755.80000000000018, 'cost': 0.99999999999999978, 'performance': 1.0, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '1_#3', 'I0': 0.2, 'gamma': 1.8, 'TL_mst': 106.30000000000001, 'MD_mst': 1014.4, 'TL': 134.99999999999997, 'MD': 810.0, 'cost': 1.2699905926622761, 'performance': 0.79850157728706628, 'fault tolerance': 0.9696969696969697, 'efficiency': 0.76354657687991057}
{'name': '2_#1', 'I0': 0.3, 'gamma': 1.8, 'TL_mst': 60.799999999999997, 'MD_mst': 380.80000000000007, 'TL': 58.299999999999997, 'MD': 365.50000000000006, 'cost': 0.95888157894736847, 'performance': 0.9598214285714286, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '2_#2', 'I0': 0.3, 'gamma': 1.8, 'TL_mst': 61.599999999999994, 'MD_mst': 484.79999999999984, 'TL': 60.79999999999999, 'MD': 482.79999999999995, 'cost': 0.9870129870129869, 'performance': 0.99587458745874613, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '2_#3', 'I0': 0.3, 'gamma': 1.8, 'TL_mst': 72.199999999999989, 'MD_mst': 623.60000000000014, 'TL': 76.099999999999994, 'MD': 652.40000000000009, 'cost': 1.054016620498615, 'performance': 1.0461834509300834, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '3_#1', 'I0': 0.4, 'gamma': 1.8, 'TL_mst': 63.099999999999987, 'MD_mst': 528.79999999999995, 'TL': 63.200000000000003, 'MD': 546.79999999999995, 'cost': 1.0015847860538829, 'performance': 1.0340393343419063, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '3_#2', 'I0': 0.4, 'gamma': 1.8, 'TL_mst': 96.499999999999986, 'MD_mst': 773.80000000000007, 'TL': 96.599999999999994, 'MD': 765.20000000000005, 'cost': 1.0010362694300519, 'performance': 0.98888601705867152, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '3_#3', 'I0': 0.4, 'gamma': 1.8, 'TL_mst': 62.099999999999987, 'MD_mst': 547.00000000000011, 'TL': 62.099999999999994, 'MD': 547.00000000000011, 'cost': 1.0000000000000002, 'performance': 1.0, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '4_#1', 'I0': 0.5, 'gamma': 1.8, 'TL_mst': 56.299999999999997, 'MD_mst': 426.60000000000002, 'TL': 53.999999999999993, 'MD': 399.79999999999995, 'cost': 0.95914742451154522, 'performance': 0.93717768401312684, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '4_#2', 'I0': 0.5, 'gamma': 1.8, 'TL_mst': 57.000000000000007, 'MD_mst': 466.80000000000007, 'TL': 57.300000000000004, 'MD': 470.39999999999998, 'cost': 1.0052631578947369, 'performance': 1.0077120822622105, 'fault tolerance': 0.0, 'efficiency': 0.0}
